Sport,Discipline,Code,Sports Governing Body,1896,1900,1904,1906*,1908,1912,1920,1924,1928,1932,1936,1948,1952,1956,1960,1964,1968,1972,1976,1980,1984,1988,1992,1996,2000,2004,2008,2012,2016,2020,2024
Aquatics,Artistic Swimming,SWA,World Aquatics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,2,2,2,2,2,2,2
Aquatics,Diving,DIV,World Aquatics,0,0,2,1,2,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,8,8,8,8
Aquatics,Marathon Swimming,OWS,World Aquatics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2
Aquatics,Swimming,SWM,World Aquatics,4,7,9,4,6,9,10,11,11,11,11,11,11,13,15,18,29,29,26,26,29,31,31,32,32,32,32,32,32,35,35
Aquatics,Water Polo,WPO,World Aquatics,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2
Archery,Archery,ARC,World Archery,0,7,6,0,3,0,10,0,0,0,0,0,0,0,0,0,0,2,2,2,2,4,4,4,4,4,4,4,4,5,5
Athletics,Athletics,ATH,World Athletics,12,23,25,21,26,30,29,27,27,29,29,33,33,33,34,36,36,38,37,38,41,42,43,44,46,46,47,47,47,48,48
Badminton,Badminton,BDM,BWF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,•,0,0,0,•,4,5,5,5,5,5,5,5,5
Baseball and Softball,Baseball,BSB,WBSC[s1],0,•,0,0,0,•,0,•,0,0,•,0,0,•,0,•,0,0,0,0,•,•,1,1,1,1,1,0,0,1,0
Baseball and Softball,Softball,SBL,WBSC[s1],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0
Basketball,3x3,BK3,FIBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
Basketball,Basketball,BKB,FIBA,0,0,•,0,0,0,0,•,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2
Basque Pelota,Basque Pelota,PEL,FIPV,0,1,0,0,0,0,0,•,0,0,0,0,0,0,0,0,•,0,0,0,0,,•,0,0,0,0,0,0,0,0
Boxing,Boxing,BOX,No body recognised AIBA/IBA[s2],0,0,7,0,5,0,8,8,8,8,8,8,10,10,10,10,11,11,11,11,12,12,12,12,12,11,11,13,13,13,13
Breaking,Breaking,BKG,WDSF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Canoeing,Sprint,CSP,ICF,0,0,0,0,0,0,0,•,0,0,9,9,9,9,7,7,7,7,11,11,12,12,12,12,12,12,12,12,12,12,10
Canoeing,Slalom,CSL,ICF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,4,4,4,4,4,4,4,6
Cricket,Cricket,CKT,ICC,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Croquet,Croquet,CQT,WCF,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cycling,BMX Freestyle,BMF,UCI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
Cycling,BMX Racing,BMX,UCI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2
Cycling,Mountain Bike,MTB,UCI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2
Cycling,Road,CRD,UCI,1,0,0,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,4,4,4,4,4,4,4,4
Cycling,Track,CTR,UCI,5,3,7,5,7,0,4,4,4,4,4,4,4,4,4,5,5,5,4,4,5,6,7,8,12,12,10,10,10,12,12
Equestrian,Dressage,EDR,FEI,0,0,0,0,0,1,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Equestrian,Eventing,EVE,FEI,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Equestrian,Jumping,EJP,FEI,0,3,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Equestrian,Vaulting,EVL,FEI,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equestrian,Driving,EDV,FEI,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fencing,Fencing,FEN,FIE,3,7,5,8,4,5,6,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,10,10,10,10,10,10,12,12
Field hockey,Field hockey,HOC,FIH,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2
Flag football,Flag football,AFB,IFAF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Football,Football,FBL,FIFA,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2
Golf,Golf,GLF,IGF,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2
Gymnastics,Artistic,GAR,FIG,8,1,11,4,2,4,4,9,8,11,9,9,15,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
Gymnastics,Rhythmic,GRY,FIG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,2,2
Gymnastics,Trampoline,GTR,FIG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2
Handball,Indoor,HBL,IHF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2
Handball,Field,HBL,IHF,0,0,0,0,0,0,0,0,0,0,1,0,0,•,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jeu de Paume,Jeu de Paume,–,–,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Judo,Judo,JUD,IJF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,6,8,8,7,14,14,14,14,14,14,14,15,15
Karate,Karate,KTE,WKF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
Lacrosse,Sixes,LAX,WL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lacrosse,Field,LAX,WL,0,0,1,0,1,0,0,0,•,•,0,•,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Modern Pentathlon,,MPN,UIPM,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2
Polo,Polo,POL,FIP,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rackets,Rackets,RQT,–,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roque,Roque,–,–,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rowing,Coastal,ROC,World Rowing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rowing,Rowing,ROW,World Rowing,0[s3],5,5,6,4,4,5,7,7,7,7,7,7,7,7,7,7,7,14,14,14,14,14,14,14,14,14,14,14,14,14
Rugby,Sevens,RU7,World Rugby,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2
Rugby,Union,RUG,World Rugby,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sailing,Sailing,SAL,World Sailing,0[s3],13,0,0,4,4,14,3,3,4,4,5,5,5,5,5,5,6,6,6,7,8,10,10,11,11,11,10,10,10,10
Shooting,Shooting,SHO,ISSF,5,8,0,16,15,18,21,10,0,2,3,4,7,7,6,6,7,8,7,7,11,13,13,15,17,17,15,15,15,15,15
Skateboarding,Skateboarding,SKB,World Skate[s4],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
Sport Climbing,Sport Climbing,CLB,IFSC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4
Squash,Squash,SQU,WSF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Surfing,Surfing,SRF,ISA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
Table Tennis,Table Tennis,TTE,ITTF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,5,5
Taekwondo,Taekwondo,TKW,World Taekwondo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,•,•,0,8,8,8,8,8,8,8
Tennis,Tennis,TEN,ITF,2,4,2,4,6,8,5,5,0,0,0,0,0,0,0,0,•,0,0,0,•,4,4,4,4,4,4,5,5,5,5
Triathlon,Triathlon,TRI,World Triathlon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,3,3
Tug of War,Tug of War,TOW,TWIF,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Volleyball,Beach,VBV,FIVB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2
Volleyball,Indoor,VVO,FIVB,0,0,0,0,0,0,0,•,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Water Motorsports,,PBT,UIM,0,•,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Weightlifting,Weightlifting,WLF,IWF,2,2,2,0,0,0,5,5,5,5,5,6,7,7,7,7,7,9,9,10,10,10,10,10,15,15,15,15,15,14,10
Wrestling,Freestyle,WRF,UWW,0,0,7,0,5,0,5,7,7,7,7,8,8,8,8,8,8,10,10,10,10,10,10,10,8,11,11,11,12,12,12
Wrestling,Greco-Roman,WRG,UWW,1,0,0,4,4,5,5,6,6,7,7,8,8,8,8,8,8,10,10,10,10,10,10,10,8,7,7,7,6,6,6
Skating,Figure,FSK,ISU,0,0,0,0,4,0,3,Included in winter games (see data_dictionary.csv)[s5],,,,,,,,,,,,,,,,,,,,,,,
Ice Hockey,Ice Hockey,IHO,IIHF,0,0,0,0,0,0,1,Included in winter games (see data_dictionary.csv)[s5],,,,,,,,,,,,,,,,,,,,,,,
Total events,Total events,Total events,Total events,43,97,95,76,110,102,156,126,109,117,129,136,149,151,150,163,172,195,198,203,221,237,257,271,300,301,302,302,306,339,329
Total disciplines,Total disciplines,Total disciplines,Total disciplines,10,22,18,13,25,18,29,23,20,20,25,23,23,23,23,25,24,28,27,27,29,31,34,37,40,40,42,40,42,50,48
Total sports,Total sports,Total sports,Total sports,11,20,16,11,22,14,22,17,14,14,19,17,17,17,17,19,18,21,21,21,21,23,25,25,27,27,27,26,28,33,32
